Period,Country,Area type,Area code,Area name,Sex,Sex code,Age group,Age code,HLE,LCI,UCI,Proportion (%)
2019 to 2021,England,Local Areas,E08000011,Knowsley,Female,2,<1,1,58.2,55.1,61.4,74
2019 to 2021,England,Local Areas,E08000012,Liverpool,Male,1,<1,1,57.6,54.8,60.4,76
2019 to 2021,England,Local Areas,E08000012,Liverpool,Female,2,<1,1,57.8,54.7,60.8,73
2019 to 2021,England,Local Areas,E08000013,St. Helens,Male,1,<1,1,59.7,56.7,62.6,78
2019 to 2021,England,Local Areas,E08000013,St. Helens,Female,2,<1,1,60.3,57.1,63.5,75
2019 to 2021,England,Local Areas,E08000014,Sefton,Male,1,<1,1,62.7,60.4,65.1,81
2019 to 2021,England,Local Areas,E08000014,Sefton,Female,2,<1,1,63.8,61.1,66.5,78
2019 to 2021,England,Local Areas,E08000015,Wirral,Male,1,<1,1,61.1,58.6,63.7,79
2019 to 2021,England,Local Areas,E08000015,Wirral,Female,2,<1,1,62.0,59.1,65.0,76
2019 to 2021,England,Country,E92000001,England,Male,1,<1,1,62.7,62.5,62.9,79
2019 to 2021,England,Country,E92000001,England,Female,2,<1,1,63.7,63.5,64.0,77
2020 to 2022,England,Local Areas,E06000006,Halton,Male,1,<1,1,58.6,55.3,61.9,76
2020 to 2022,England,Local Areas,E06000006,Halton,Female,2,<1,1,58.6,55.2,62.0,73
2020 to 2022,England,Local Areas,E08000011,Knowsley,Male,1,<1,1,55.4,51.3,59.5,73
2020 to 2022,England,Local Areas,E08000011,Knowsley,Female,2,<1,1,55.1,51.0,59.2,69
2020 to 2022,England,Local Areas,E08000012,Liverpool,Male,1,<1,1,57.2,54.0,60.5,76
2020 to 2022,England,Local Areas,E08000012,Liverpool,Female,2,<1,1,57.6,54.0,61.2,73
2020 to 2022,England,Local Areas,E08000013,St. Helens,Male,1,<1,1,57.7,54.1,61.3,75
2020 to 2022,England,Local Areas,E08000013,St. Helens,Female,2,<1,1,57.7,53.7,61.7,72
2020 to 2022,England,Local Areas,E08000014,Sefton,Male,1,<1,1,61.2,58.4,64.0,79
2020 to 2022,England,Local Areas,E08000014,Sefton,Female,2,<1,1,61.8,58.6,64.9,76
2020 to 2022,England,Local Areas,E08000015,Wirral,Male,1,<1,1,59.5,56.6,62.5,77
2020 to 2022,England,Local Areas,E08000015,Wirral,Female,2,<1,1,60.5,57.0,63.9,74
2020 to 2022,England,Country,E92000001,England,Male,1,<1,1,62.3,62.1,62.5,79
2020 to 2022,England,Country,E92000001,England,Female,2,<1,1,62.8,62.5,63.1,76
2021 to 2023,England,Local Areas,E06000006,Halton,Male,1,<1,1,56.6,52.7,60.4,73
2021 to 2023,England,Local Areas,E06000006,Halton,Female,2,<1,1,56.8,52.7,60.9,71
2021 to 2023,England,Local Areas,E08000011,Knowsley,Male,1,<1,1,54.6,50.0,59.3,72
2021 to 2023,England,Local Areas,E08000011,Knowsley,Female,2,<1,1,54.4,50.2,58.6,68
2021 to 2023,England,Local Areas,E08000012,Liverpool,Male,1,<1,1,55.7,52.1,59.3,73
2021 to 2023,England,Local Areas,E08000012,Liverpool,Female,2,<1,1,56.1,52.4,59.7,70
2021 to 2023,England,Local Areas,E08000013,St. Helens,Male,1,<1,1,57.0,52.9,61.2,74
2021 to 2023,England,Local Areas,E08000013,St. Helens,Female,2,<1,1,57.4,53.2,61.6,71
2021 to 2023,England,Local Areas,E08000014,Sefton,Male,1,<1,1,60.4,56.9,63.8,77
2021 to 2023,England,Local Areas,E08000014,Sefton,Female,2,<1,1,61.0,57.6,64.4,75
2021 to 2023,England,Local Areas,E08000015,Wirral,Male,1,<1,1,58.5,54.9,62.0,75
2021 to 2023,England,Local Areas,E08000015,Wirral,Female,2,<1,1,59.5,55.5,63.5,73
2021 to 2023,England,Country,E92000001,England,Male,1,<1,1,61.5,61.3,61.8,78
2021 to 2023,England,Country,E92000001,England,Female,2,<1,1,61.9,61.6,62.2,75
2022 to 2024,England,Local Areas,E06000006,Halton,Male,1,<1,1,56.4,52.1,60.6,73
2022 to 2024,England,Local Areas,E06000006,Halton,Female,2,<1,1,56.8,52.4,61.2,70
2022 to 2024,England,Local Areas,E08000011,Knowsley,Male,1,<1,1,54.0,49.4,58.6,70
2022 to 2024,England,Local Areas,E08000011,Knowsley,Female,2,<1,1,53.7,48.7,58.7,67
2022 to 2024,England,Local Areas,E08000012,Liverpool,Male,1,<1,1,55.8,52.2,59.4,73
